2025-10-25 16:40:09,407 - INFO - Starting autonomous flight with config: data\phase1_params.json
2025-10-25 16:40:09,407 - INFO - Loaded config: Phase 1 - Basic Gate Course
2025-10-25 16:40:09,408 - INFO - Waypoints: 3
2025-10-25 16:40:10,139 - INFO - Pairing drone...
2025-10-25 16:40:31,490 - WARNING - Rejecting outlier: vx=6348.4, vy=16505.8 cm/s
2025-10-25 16:40:31,506 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,538 - WARNING - Rejecting outlier: vx=2170.7, vy=23877.2 cm/s
2025-10-25 16:40:31,553 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,676 - WARNING - Rejecting outlier: vx=719.6, vy=7915.5 cm/s
2025-10-25 16:40:31,692 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,756 - WARNING - Rejecting outlier: vx=12712.3, vy=6356.2 cm/s
2025-10-25 16:40:31,770 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,833 - WARNING - Rejecting outlier: vx=8983.2, vy=2566.6 cm/s
2025-10-25 16:40:31,848 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:31,879 - WARNING - Rejecting outlier: vx=34242.4, vy=2140.1 cm/s
2025-10-25 16:40:31,895 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:32,020 - WARNING - Rejecting outlier: vx=1418.6, vy=5674.5 cm/s
2025-10-25 16:40:32,036 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:32,099 - WARNING - Rejecting outlier: vx=0.0, vy=7573.0 cm/s
2025-10-25 16:40:32,115 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:32,178 - WARNING - Rejecting outlier: vx=0.0, vy=11475.5 cm/s
2025-10-25 16:40:32,194 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:32,226 - WARNING - Rejecting outlier: vx=0.0, vy=4199.3 cm/s
2025-10-25 16:40:32,241 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:32,366 - WARNING - Rejecting outlier: vx=0.0, vy=4260.3 cm/s
2025-10-25 16:40:32,381 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:32,443 - WARNING - Rejecting outlier: vx=1299.2, vy=24684.2 cm/s
2025-10-25 16:40:32,459 - WARNING - Could not read yaw, using last known value
2025-10-25 16:40:32,520 - WARNING - Rejecting outlier: vx=2602.0, vy=5204.0 cm/s
